Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
3716CP,4899,2017-12-17 20:09:18,2017-12-17 20:15:18,Request product,process activity,clerk,1c,product,3716p
3716CP,4906,2017-12-17 20:16:18,2017-12-17 20:16:18,Assgin robot,process activity,robot,81r,shelf,369s
8068CP,4916,2017-12-17 20:21:18,2017-12-17 20:21:18,Product Delivered,process activity,clerk,1c,product,8068p
3505CP,4918,2017-12-17 20:22:18,2017-12-17 20:22:18,check if the product was shaked,process activity,clerk,1c,product,3505p
3505CP,4939,2017-12-17 20:41:18,2017-12-17 20:41:18,Product Delivered,process activity,clerk,1c,product,3505p
8212CP,4917,2017-12-17 20:22:18,2017-12-17 20:41:18,Request product,process activity,clerk,1c,product,8212p
8212CP,4940,2017-12-17 20:41:18,2017-12-17 20:41:18,Assgin robot,process activity,robot,74r,shelf,152s
260CP,4943,2017-12-17 20:42:18,2017-12-17 20:42:18,check if the product was shaked,process activity,clerk,1c,product,260p
8853CP,4945,2017-12-17 20:43:18,2017-12-17 20:46:18,Request product,process activity,clerk,1c,product,8853p
8853CP,4949,2017-12-17 20:47:18,2017-12-17 20:47:18,Assgin robot,process activity,robot,40r,shelf,332s
260CP,4951,2017-12-17 20:48:18,2017-12-17 20:48:18,Product Delivered,process activity,clerk,1c,product,260p
4529CP,4953,2017-12-17 20:49:18,2017-12-17 20:49:18,check if the product was shaked,process activity,clerk,1c,product,4529p
1016CP,4952,2017-12-17 20:49:18,2017-12-17 20:56:18,Request product,process activity,clerk,1c,product,1016p
1016CP,4958,2017-12-17 20:56:18,2017-12-17 20:56:18,Assgin robot,process activity,robot,17r,shelf,35s
4529CP,4967,2017-12-17 21:08:18,2017-12-17 21:08:18,Product Delivered,process activity,clerk,1c,product,4529p
7686CP,4970,2017-12-17 21:10:18,2017-12-17 21:11:18,check if the product was shaked,process activity,clerk,1c,product,7686p
7686CP,4978,2017-12-17 21:16:18,2017-12-17 21:16:18,Product Delivered,process activity,clerk,1c,product,7686p
8527CP,4979,2017-12-17 21:16:18,2017-12-17 21:16:18,check if the product was shaked,process activity,clerk,1c,product,8527p
6573CP,4981,2017-12-17 21:17:18,2017-12-17 21:19:18,Request product,process activity,clerk,1c,product,6573p
6573CP,4985,2017-12-17 21:20:18,2017-12-17 21:20:18,Assgin robot,process activity,robot,24r,shelf,284s
8527CP,4993,2017-12-17 21:31:18,2017-12-17 21:31:18,Product Delivered,process activity,clerk,1c,product,8527p
6365CP,4972,2017-12-17 21:10:18,2017-12-17 21:31:18,Request product,process activity,clerk,1c,product,6365p
6365CP,4994,2017-12-17 21:32:18,2017-12-17 21:32:18,Assgin robot,process activity,robot,76r,shelf,482s
7172CP,4998,2017-12-17 21:33:18,2017-12-17 21:33:18,check if the product was shaked,process activity,clerk,1c,product,7172p
2353CP,4995,2017-12-17 21:32:18,2017-12-17 21:45:18,Request product,process activity,clerk,1c,product,2353p
2353CP,5011,2017-12-17 21:45:18,2017-12-17 21:45:18,Assgin robot,process activity,robot,63r,shelf,268s
7172CP,5017,2017-12-17 21:55:18,2017-12-17 21:56:18,Product Delivered,process activity,clerk,1c,product,7172p
9090CP,5018,2017-12-17 21:56:18,2017-12-17 21:56:18,check if the product was shaked,process activity,clerk,1c,product,9090p
6179CP,5020,2017-12-17 21:57:18,2017-12-17 22:05:18,Request product,process activity,clerk,1c,product,6179p
9090CP,5028,2017-12-17 22:08:18,2017-12-17 22:08:18,Product Delivered,process activity,clerk,1c,product,9090p
6179CP,5026,2017-12-17 22:06:18,2017-12-17 22:09:18,Assgin robot,process activity,robot,87r,shelf,493s
1476CP,5032,2017-12-17 22:10:18,2017-12-17 22:10:18,check if the product was shaked,process activity,clerk,1c,product,1476p
9841CP,5033,2017-12-17 22:10:18,2017-12-17 22:23:18,Request product,process activity,clerk,1c,product,9841p
9841CP,5044,2017-12-17 22:23:18,2017-12-17 22:23:18,Assgin robot,process activity,robot,85r,shelf,285s
1476CP,5052,2017-12-17 22:35:18,2017-12-17 22:35:18,Product Delivered,process activity,clerk,1c,product,1476p
4007CP,5055,2017-12-17 22:38:18,2017-12-17 22:38:18,check if the product was shaked,process activity,clerk,1c,product,4007p
4007CP,5065,2017-12-17 22:53:18,2017-12-17 22:53:18,Product Delivered,process activity,clerk,1c,product,4007p
5410CP,5066,2017-12-17 22:54:18,2017-12-17 22:54:18,check if the product was shaked,process activity,clerk,1c,product,5410p
3987CP,5054,2017-12-17 22:37:18,2017-12-17 22:56:18,Request product,process activity,clerk,1c,product,3987p
3987CP,5070,2017-12-17 22:56:18,2017-12-17 22:56:18,Assgin robot,process activity,robot,92r,shelf,52s
2675CP,5067,2017-12-17 22:54:18,2017-12-17 22:59:18,Request product,process activity,clerk,1c,product,2675p
2675CP,5072,2017-12-17 23:00:18,2017-12-17 23:00:18,Assgin robot,process activity,robot,15r,shelf,222s
5410CP,5077,2017-12-17 23:08:18,2017-12-17 23:08:18,Product Delivered,process activity,clerk,1c,product,5410p
4772CP,5079,2017-12-17 23:09:18,2017-12-17 23:09:18,check if the product was shaked,process activity,clerk,1c,product,4772p
5878CP,5078,2017-12-17 23:08:18,2017-12-17 23:15:18,Request product,process activity,clerk,1c,product,5878p
5878CP,5082,2017-12-17 23:15:18,2017-12-17 23:15:18,Assgin robot,process activity,robot,96r,shelf,108s
