Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
7325RP,1607,2017-12-15 13:25:18,2017-12-15 13:46:18,move shelf to dock,process activity,robot,78r,shelf,396s
4178RP,1616,2017-12-15 13:31:18,2017-12-15 13:47:18,reduce speed,process activity,robot,69r,shelf,440s
4178RP,1568,2017-12-15 12:59:18,2017-12-15 13:47:18,move shelf to dock,process activity,robot,69r,shelf,440s
8205RP,1647,2017-12-15 13:47:18,2017-12-15 13:49:18,go to approriate shelf,process activity,robot,39r,shelf,446s
5057RP,1600,2017-12-15 13:21:18,2017-12-15 13:51:18,move shelf to dock,process activity,robot,40r,shelf,189s
8247RP,1618,2017-12-15 13:32:18,2017-12-15 13:51:18,go to approriate shelf,process activity,robot,53r,shelf,414s
697RP,1608,2017-12-15 13:25:18,2017-12-15 13:53:18,putdown current shelf,process activity,robot,89r,shelf,-1s
9968RP,1635,2017-12-15 13:40:18,2017-12-15 13:55:18,go to approriate shelf,process activity,robot,54r,shelf,122s
2533RP,1642,2017-12-15 13:45:18,2017-12-15 13:59:18,putdown current shelf,process activity,robot,1r,shelf,-1s
8690RP,1638,2017-12-15 13:42:18,2017-12-15 14:00:18,go to approriate shelf,process activity,robot,11r,shelf,216s
3088RP,1631,2017-12-15 13:37:18,2017-12-15 14:03:18,go to approriate shelf,process activity,robot,25r,shelf,43s
9867RP,1637,2017-12-15 13:41:18,2017-12-15 14:06:18,go to approriate shelf,process activity,robot,93r,shelf,50s
8955RP,1643,2017-12-15 13:45:18,2017-12-15 14:08:18,go to approriate shelf,process activity,robot,43r,shelf,21s
2568RP,1619,2017-12-15 13:32:18,2017-12-15 14:11:18,move shelf to dock,process activity,robot,81r,shelf,497s
5786RP,1636,2017-12-15 13:41:18,2017-12-15 14:12:18,putdown current shelf,process activity,robot,5r,shelf,-1s
2533RP,1665,2017-12-15 14:00:18,2017-12-15 14:14:18,go to approriate shelf,process activity,robot,1r,shelf,386s
697RP,1656,2017-12-15 13:54:18,2017-12-15 14:20:18,go to approriate shelf,process activity,robot,89r,shelf,129s
9968RP,1661,2017-12-15 13:57:18,2017-12-15 14:22:18,move shelf to dock,process activity,robot,54r,shelf,122s
8247RP,1664,2017-12-15 13:59:18,2017-12-15 14:24:18,move shelf to dock,process activity,robot,53r,shelf,414s
3725RP,1669,2017-12-15 14:02:18,2017-12-15 14:25:18,move shelf to dock,process activity,robot,35r,shelf,376s
8690RP,1667,2017-12-15 14:02:18,2017-12-15 14:25:18,move shelf to dock,process activity,robot,11r,shelf,216s
2952RP,1659,2017-12-15 13:55:18,2017-12-15 14:27:18,putdown current shelf,process activity,robot,56r,shelf,-1s
141RP,1644,2017-12-15 13:45:18,2017-12-15 14:27:18,go to approriate shelf,process activity,robot,57r,shelf,62s
8205RP,1653,2017-12-15 13:51:18,2017-12-15 14:31:18,move shelf to dock,process activity,robot,39r,shelf,446s
1178RP,1711,2017-12-15 14:30:18,2017-12-15 14:33:18,putdown current shelf,process activity,robot,59r,shelf,-1s
9598RP,1706,2017-12-15 14:27:18,2017-12-15 14:33:18,putdown current shelf,process activity,robot,66r,shelf,-1s
2952RP,1707,2017-12-15 14:27:18,2017-12-15 14:34:18,go to approriate shelf,process activity,robot,56r,shelf,142s
4525RP,1688,2017-12-15 14:14:18,2017-12-15 14:37:18,reduce speed,process activity,robot,65r,shelf,491s
4525RP,1630,2017-12-15 13:37:18,2017-12-15 14:37:18,move shelf to dock,process activity,robot,65r,shelf,491s
8955RP,1696,2017-12-15 14:19:18,2017-12-15 14:38:18,move shelf to dock,process activity,robot,43r,shelf,21s
5786RP,1685,2017-12-15 14:13:18,2017-12-15 14:39:18,go to approriate shelf,process activity,robot,5r,shelf,116s
1848RP,1694,2017-12-15 14:18:18,2017-12-15 14:41:18,putdown current shelf,process activity,robot,30r,shelf,-1s
141RP,1709,2017-12-15 14:30:18,2017-12-15 14:42:18,move shelf to dock,process activity,robot,57r,shelf,62s
3088RP,1672,2017-12-15 14:05:18,2017-12-15 14:43:18,move shelf to dock,process activity,robot,25r,shelf,43s
2530RP,1686,2017-12-15 14:13:18,2017-12-15 14:45:18,putdown current shelf,process activity,robot,98r,shelf,-1s
697RP,1726,2017-12-15 14:41:18,2017-12-15 14:46:18,move shelf to dock,process activity,robot,89r,shelf,129s
1178RP,1716,2017-12-15 14:33:18,2017-12-15 14:48:18,go to approriate shelf,process activity,robot,59r,shelf,489s
2127RP,1712,2017-12-15 14:30:18,2017-12-15 14:52:18,reduce speed,process activity,robot,8r,shelf,442s
2127RP,1650,2017-12-15 13:49:18,2017-12-15 14:52:18,move shelf to dock,process activity,robot,8r,shelf,442s
9598RP,1717,2017-12-15 14:34:18,2017-12-15 14:55:18,go to approriate shelf,process activity,robot,66r,shelf,281s
2530RP,1732,2017-12-15 14:45:18,2017-12-15 14:59:18,go to approriate shelf,process activity,robot,98r,shelf,227s
1848RP,1727,2017-12-15 14:42:18,2017-12-15 15:05:18,go to approriate shelf,process activity,robot,30r,shelf,41s
8663RP,1766,2017-12-15 15:04:18,2017-12-15 15:07:18,putdown current shelf,process activity,robot,52r,shelf,-1s
8052RP,1761,2017-12-15 15:01:18,2017-12-15 15:08:18,putdown current shelf,process activity,robot,34r,shelf,-1s
482RP,1765,2017-12-15 15:03:18,2017-12-15 15:08:18,putdown current shelf,process activity,robot,55r,shelf,-1s
