Event Id,Chip Name,Timestamp,Item Id
9669SR,shelfMoved,2017-12-21 15:01:18,89s
9683SR,shelfMoved,2017-12-21 15:14:18,313s
9689SR,shelfMoved,2017-12-21 15:19:18,427s
9692SR,shelfMoved,2017-12-21 15:25:18,365s
9696SR,shelfDelivered,2017-12-21 15:26:18,89s
9709SR,shelfDelivered,2017-12-21 15:40:18,427s
9712SR,shelfDelivered,2017-12-21 15:43:18,313s
9713SR,shelfDelivered,2017-12-21 15:44:18,365s
9739SR,shelfMoved,2017-12-21 16:16:18,415s
9740SR,shelfMoved,2017-12-21 16:18:18,72s
9759SR,shelfDelivered,2017-12-21 16:40:18,415s
9763SR,shelfMoved,2017-12-21 16:43:18,485s
9764SR,shelfDelivered,2017-12-21 16:45:18,72s
9784SR,shelfDelivered,2017-12-21 17:00:18,485s
9796SR,shelfMoved,2017-12-21 17:10:18,292s
9800SR,shelfMoved,2017-12-21 17:13:18,305s
9802SR,shelfDelivered,2017-12-21 17:16:18,292s
9804SR,shelfMoved,2017-12-21 17:20:18,250s
9819SR,shelfDelivered,2017-12-21 17:36:18,305s
9824SR,shelfMoved,2017-12-21 17:42:18,322s
9827SR,shelfDelivered,2017-12-21 17:45:18,250s
9833SR,shelfDelivered,2017-12-21 17:48:18,322s
9853SR,shelfMoved,2017-12-21 18:10:18,91s
9868SR,shelfMoved,2017-12-21 18:27:18,248s
9875SR,shelfDelivered,2017-12-21 18:36:18,91s
9880SR,shelfMoved,2017-12-21 18:40:18,155s
9888SR,shelfDelivered,2017-12-21 18:45:18,248s
9902SR,shelfDelivered,2017-12-21 19:01:18,155s
9903SR,shelfMoved,2017-12-21 19:02:18,10s
9906SR,shelfMoved,2017-12-21 19:04:18,286s
9922SR,shelfMoved,2017-12-21 19:19:18,394s
9924SR,shelfDelivered,2017-12-21 19:23:18,10s
9928SR,shelfDelivered,2017-12-21 19:25:18,394s
9934SR,shelfDelivered,2017-12-21 19:29:18,286s
9955SR,shelfMoved,2017-12-21 19:53:18,114s
9959SR,shelfMoved,2017-12-21 19:57:18,86s
9966SR,shelfDelivered,2017-12-21 20:08:18,86s
9971SR,shelfDelivered,2017-12-21 20:14:18,114s
9983SR,shelfMoved,2017-12-21 20:29:18,390s
9993SR,shelfMoved,2017-12-21 20:47:18,162s
10006SR,shelfDelivered,2017-12-21 20:59:18,390s
10012SR,shelfMoved,2017-12-21 21:05:18,179s
10015SR,shelfMoved,2017-12-21 21:10:18,207s
10016SR,shelfMoved,2017-12-21 21:10:18,417s
10023SR,shelfDelivered,2017-12-21 21:16:18,162s
10032SR,shelfDelivered,2017-12-21 21:23:18,179s
10040SR,shelfDelivered,2017-12-21 21:32:18,417s
10045SR,shelfDelivered,2017-12-21 21:34:18,207s
10068SR,shelfMoved,2017-12-21 21:57:18,224s
10076SR,shelfMoved,2017-12-21 22:02:18,118s
10079SR,shelfMoved,2017-12-21 22:04:18,191s
10082SR,shelfMoved,2017-12-21 22:06:18,151s
10084SR,shelfDelivered,2017-12-21 22:07:18,118s
10097SR,shelfDelivered,2017-12-21 22:16:18,224s
10098SR,shelfDelivered,2017-12-21 22:16:18,151s
10109SR,shelfDelivered,2017-12-21 22:22:18,191s
10118SR,shelfMoved,2017-12-21 22:27:18,374s
10127SR,shelfMoved,2017-12-21 22:40:18,174s
10131SR,shelfDelivered,2017-12-21 22:44:18,174s
10136SR,shelfMoved,2017-12-21 22:46:18,212s
10147SR,shelfDelivered,2017-12-21 22:56:18,212s
10149SR,shelfDelivered,2017-12-21 22:58:18,374s
10153SR,shelfMoved,2017-12-21 23:00:18,384s
10169SR,shelfDelivered,2017-12-21 23:25:18,384s
10175SR,shelfMoved,2017-12-21 23:29:18,438s
10178SR,shelfDelivered,2017-12-21 23:42:18,438s
10196SR,shelfMoved,2017-12-22 00:02:18,263s
10204SR,shelfDelivered,2017-12-22 00:16:18,263s
10222SR,shelfMoved,2017-12-22 00:43:18,331s
10225SR,shelfDelivered,2017-12-22 00:49:18,331s
10238SR,shelfMoved,2017-12-22 01:01:18,317s
10241SR,shelfMoved,2017-12-22 01:06:18,69s
10251SR,shelfDelivered,2017-12-22 01:21:18,69s
10253SR,shelfDelivered,2017-12-22 01:22:18,317s
10265SR,shelfMoved,2017-12-22 01:33:18,63s
10269SR,shelfDelivered,2017-12-22 01:38:18,63s
10280SR,shelfMoved,2017-12-22 01:43:18,124s
10291SR,shelfMoved,2017-12-22 01:53:18,426s
10301SR,shelfDelivered,2017-12-22 02:04:18,426s
10305SR,shelfMoved,2017-12-22 02:07:18,64s
10313SR,shelfDelivered,2017-12-22 02:13:18,124s
10323SR,shelfMoved,2017-12-22 02:19:18,443s
10332SR,shelfMoved,2017-12-22 02:35:18,218s
10333SR,shelfDelivered,2017-12-22 02:35:18,64s
10341SR,shelfDelivered,2017-12-22 02:45:18,443s
10356SR,shelfDelivered,2017-12-22 02:59:18,218s
10359SR,shelfMoved,2017-12-22 03:01:18,459s
10376SR,shelfMoved,2017-12-22 03:24:18,184s
10378SR,shelfDelivered,2017-12-22 03:26:18,459s
10387SR,shelfMoved,2017-12-22 03:38:18,193s
10390SR,shelfDelivered,2017-12-22 03:42:18,193s
10398SR,shelfMoved,2017-12-22 03:54:18,221s
10405SR,shelfDelivered,2017-12-22 04:06:18,221s
10413SR,shelfMoved,2017-12-22 04:17:18,317s
10430SR,shelfDelivered,2017-12-22 04:34:18,317s
10431SR,shelfMoved,2017-12-22 04:34:18,143s
10438SR,shelfMoved,2017-12-22 04:39:18,102s
10443SR,shelfMoved,2017-12-22 04:46:18,129s
10448SR,shelfDelivered,2017-12-22 04:51:18,102s
10449SR,shelfDelivered,2017-12-22 04:52:18,143s
10459SR,shelfDelivered,2017-12-22 05:06:18,129s
10475SR,shelfMoved,2017-12-22 05:29:18,373s
10480SR,shelfMoved,2017-12-22 05:32:18,460s
10489SR,shelfDelivered,2017-12-22 05:51:18,373s
10498SR,shelfDelivered,2017-12-22 05:59:18,460s
10500SR,shelfMoved,2017-12-22 06:01:18,156s
10509SR,shelfDelivered,2017-12-22 06:10:18,156s
10521SR,shelfMoved,2017-12-22 06:31:18,151s
10529SR,shelfMoved,2017-12-22 06:39:18,80s
10541SR,shelfDelivered,2017-12-22 06:53:18,80s
10542SR,shelfDelivered,2017-12-22 06:55:18,151s
10549SR,shelfMoved,2017-12-22 06:59:18,388s
10556SR,shelfMoved,2017-12-22 07:05:18,82s
