Event Id,Chip Name,Timestamp,Item Id
3602RR,disposeShelf,2017-12-16 19:19:18,15r
3632RR,disposeShelf,2017-12-16 19:47:18,96r
3647RR,disposeShelf,2017-12-16 20:02:18,21r
3663RR,disposeShelf,2017-12-16 20:23:18,0r
3668RR,disposeShelf,2017-12-16 20:26:18,84r
3698RR,disposeShelf,2017-12-16 21:03:18,80r
3724RR,disposeShelf,2017-12-16 21:31:18,60r
3741RR,disposeShelf,2017-12-16 21:44:18,77r
3757RR,disposeShelf,2017-12-16 22:07:18,49r
3774RR,disposeShelf,2017-12-16 22:30:18,14r
3788RR,disposeShelf,2017-12-16 22:48:18,86r
3808RR,disposeShelf,2017-12-16 23:17:18,90r
3831RR,disposeShelf,2017-12-16 23:42:18,44r
3866RR,disposeShelf,2017-12-17 00:12:18,37r
3873RR,disposeShelf,2017-12-17 00:16:18,72r
3875RR,disposeShelf,2017-12-17 00:18:18,68r
3876RR,disposeShelf,2017-12-17 00:20:18,95r
3894RR,disposeShelf,2017-12-17 00:33:18,62r
3900RR,disposeShelf,2017-12-17 00:39:18,83r
3923RR,disposeShelf,2017-12-17 01:14:18,39r
3942RR,disposeShelf,2017-12-17 01:40:18,50r
3953RR,disposeShelf,2017-12-17 01:48:18,41r
3966RR,disposeShelf,2017-12-17 02:02:18,33r
3991RR,disposeShelf,2017-12-17 02:34:18,27r
4013RR,disposeShelf,2017-12-17 02:55:18,28r
4021RR,disposeShelf,2017-12-17 03:01:18,75r
4086RR,disposeShelf,2017-12-17 04:10:18,7r
4091RR,disposeShelf,2017-12-17 04:13:18,26r
4113RR,disposeShelf,2017-12-17 04:36:18,46r
4122RR,disposeShelf,2017-12-17 04:42:18,61r
4144RR,disposeShelf,2017-12-17 05:04:18,88r
4158RR,disposeShelf,2017-12-17 05:18:18,36r
4164RR,disposeShelf,2017-12-17 05:26:18,58r
4172RR,disposeShelf,2017-12-17 05:31:18,18r
4188RR,disposeShelf,2017-12-17 05:58:18,82r
4200RR,disposeShelf,2017-12-17 06:17:18,23r
4248RR,disposeShelf,2017-12-17 07:27:18,78r
4255RR,disposeShelf,2017-12-17 07:30:18,4r
4265RR,disposeShelf,2017-12-17 07:39:18,48r
4283RR,disposeShelf,2017-12-17 07:58:18,31r
4300RR,disposeShelf,2017-12-17 08:14:18,69r
4328RR,disposeShelf,2017-12-17 08:42:18,3r
4333RR,disposeShelf,2017-12-17 08:45:18,38r
4343RR,disposeShelf,2017-12-17 09:00:18,54r
4373RR,disposeShelf,2017-12-17 09:37:18,67r
4387RR,disposeShelf,2017-12-17 09:48:18,71r
4404RR,disposeShelf,2017-12-17 10:08:18,11r
4419RR,disposeShelf,2017-12-17 10:31:18,10r
4459RR,disposeShelf,2017-12-17 11:12:18,42r
4463RR,disposeShelf,2017-12-17 11:17:18,89r
4475RR,disposeShelf,2017-12-17 11:31:18,65r
4484RR,disposeShelf,2017-12-17 11:42:18,57r
4513RR,disposeShelf,2017-12-17 12:12:18,8r
4518RR,disposeShelf,2017-12-17 12:15:18,1r
4544RR,disposeShelf,2017-12-17 12:46:18,97r
4551RR,disposeShelf,2017-12-17 12:51:18,66r
4578RR,disposeShelf,2017-12-17 13:31:18,98r
4584RR,disposeShelf,2017-12-17 13:35:18,52r
4602RR,disposeShelf,2017-12-17 14:15:18,34r
4613RR,disposeShelf,2017-12-17 14:34:18,79r
4630RR,disposeShelf,2017-12-17 14:59:18,55r
4659RR,disposeShelf,2017-12-17 15:47:18,45r
4660RR,disposeShelf,2017-12-17 15:49:18,99r
4708RR,disposeShelf,2017-12-17 16:52:18,9r
4723RR,disposeShelf,2017-12-17 17:03:18,51r
4725RR,disposeShelf,2017-12-17 17:03:18,53r
4735RR,disposeShelf,2017-12-17 17:10:18,99r
4755RR,disposeShelf,2017-12-17 17:29:18,59r
4770RR,disposeShelf,2017-12-17 17:39:18,13r
4798RR,disposeShelf,2017-12-17 18:05:18,91r
4802RR,disposeShelf,2017-12-17 18:08:18,29r
4808RR,disposeShelf,2017-12-17 18:12:18,70r
4824RR,disposeShelf,2017-12-17 18:25:18,12r
4826RR,disposeShelf,2017-12-17 18:27:18,25r
4836RR,disposeShelf,2017-12-17 18:41:18,5r
4861RR,disposeShelf,2017-12-17 19:21:18,47r
4873RR,disposeShelf,2017-12-17 19:33:18,30r
4880RR,disposeShelf,2017-12-17 19:48:18,56r
4920RR,disposeShelf,2017-12-17 20:24:18,93r
4934RR,disposeShelf,2017-12-17 20:38:18,32r
4936RR,disposeShelf,2017-12-17 20:39:18,20r
4938RR,disposeShelf,2017-12-17 20:40:18,26r
4965RR,disposeShelf,2017-12-17 21:07:18,81r
4983RR,disposeShelf,2017-12-17 21:19:18,40r
5000RR,disposeShelf,2017-12-17 21:36:18,17r
5006RR,disposeShelf,2017-12-17 21:40:18,74r
5030RR,disposeShelf,2017-12-17 22:09:18,24r
5048RR,disposeShelf,2017-12-17 22:28:18,76r
5061RR,disposeShelf,2017-12-17 22:43:18,63r
5063RR,disposeShelf,2017-12-17 22:44:18,87r
5102RR,disposeShelf,2017-12-17 23:41:18,92r
5116RR,disposeShelf,2017-12-17 23:57:18,96r
5157RR,disposeShelf,2017-12-18 00:33:18,80r
5163RR,disposeShelf,2017-12-18 00:37:18,21r
5165RR,disposeShelf,2017-12-18 00:38:18,84r
5191RR,disposeShelf,2017-12-18 01:16:18,60r
5202RR,disposeShelf,2017-12-18 01:29:18,77r
5235RR,disposeShelf,2017-12-18 02:11:18,49r
5248RR,disposeShelf,2017-12-18 02:23:18,90r
5281RR,disposeShelf,2017-12-18 02:59:18,86r
