Case Id,Event Id,Start Timestamp,End Timesstamp,Event name,Event type,Ressource Group,Ressource Id
1069,1568,2017-08-23 23:43:38,2017-08-23 23:52:39,go to approriate shelf,process activity,robot,2
772,1567,2017-08-23 23:43:38,2017-08-23 23:58:54,Request product,process activity,clerk,1
1341,1574,2017-08-23 23:52:39,2017-08-24 00:04:04,Package product,manual activity ,clerk,1
189,1580,2017-08-23 23:58:54,2017-08-24 00:04:04,collect product from shelf,manual activity ,clerk,1
211,1584,2017-08-24 00:02:15,2017-08-24 00:05:30,Request product,process activity,clerk,1
1121,1577,2017-08-23 23:55:49,2017-08-24 00:07:20,collect product from shelf,manual activity ,clerk,1
1069,1587,2017-08-24 00:05:30,2017-08-24 00:13:37,reduce speed,process activity,robot,2
1069,1583,2017-08-24 00:02:15,2017-08-24 00:13:37,move shelf to dock,process activity,robot,2
943,1590,2017-08-24 00:09:18,2017-08-24 00:16:36,Request product,process activity,clerk,1
1121,1601,2017-08-24 00:23:57,2017-08-24 00:33:23,move shelf from clerk dock,process activity,robot,3
231,1599,2017-08-24 00:22:46,2017-08-24 00:33:23,Request product,process activity,clerk,1
1069,1608,2017-08-24 00:33:23,2017-08-24 00:34:58,collect product from shelf,manual activity ,clerk,1
189,1610,2017-08-24 00:34:58,2017-08-24 00:45:12,move shelf from clerk dock,process activity,robot,1
1069,1615,2017-08-24 00:42:17,2017-08-24 00:47:00,move shelf from clerk dock,process activity,robot,2
189,1603,2017-08-24 00:25:33,2017-08-24 00:47:00,do extra check,manual activity ,clerk,1
1227,1621,2017-08-24 00:47:00,2017-08-24 00:47:00,Request product,process activity,clerk,1
803,1618,2017-08-24 00:45:12,2017-08-24 00:50:49,putdown current shelf,process activity,robot,3
842,1624,2017-08-24 00:50:49,2017-08-24 00:50:49,Request product,process activity,clerk,1
189,1620,2017-08-24 00:47:00,2017-08-24 00:52:28,Package product,manual activity ,clerk,1
1069,1629,2017-08-24 00:54:03,2017-08-24 00:54:03,do extra check,manual activity ,clerk,1
803,1625,2017-08-24 00:50:49,2017-08-24 00:54:03,go to approriate shelf,process activity,robot,3
819,1627,2017-08-24 00:52:28,2017-08-24 00:56:40,Request product,process activity,clerk,1
1069,1630,2017-08-24 00:54:03,2017-08-24 00:59:16,Package product,manual activity ,clerk,1
167,1634,2017-08-24 00:58:00,2017-08-24 01:00:49,Request product,process activity,clerk,1
595,1638,2017-08-24 01:02:36,2017-08-24 01:04:25,putdown current shelf,process activity,robot,0
1126,1633,2017-08-24 00:58:00,2017-08-24 01:04:25,putdown current shelf,process activity,robot,1
443,1643,2017-08-24 01:04:25,2017-08-24 01:07:48,Request product,process activity,clerk,1
1126,1644,2017-08-24 01:06:12,2017-08-24 01:08:48,go to approriate shelf,process activity,robot,1
595,1642,2017-08-24 01:04:25,2017-08-24 01:11:10,go to approriate shelf,process activity,robot,0
803,1646,2017-08-24 01:08:48,2017-08-24 01:15:01,reduce speed,process activity,robot,3
803,1636,2017-08-24 00:59:16,2017-08-24 01:15:01,move shelf to dock,process activity,robot,3
1311,1648,2017-08-24 01:09:56,2017-08-24 01:16:58,Request product,process activity,clerk,1
1121,1640,2017-08-24 01:04:25,2017-08-24 01:22:39,Package product,manual activity ,clerk,1
1126,1649,2017-08-24 01:09:56,2017-08-24 01:22:39,move shelf to dock,process activity,robot,1
595,1657,2017-08-24 01:22:39,2017-08-24 01:23:47,move shelf to dock,process activity,robot,0
1283,1660,2017-08-24 01:23:47,2017-08-24 01:31:25,Request product,process activity,clerk,1
803,1659,2017-08-24 01:23:47,2017-08-24 01:34:11,collect product from shelf,manual activity ,clerk,1
321,1675,2017-08-24 01:45:44,2017-08-24 01:47:00,Request product,process activity,clerk,1
595,1674,2017-08-24 01:45:44,2017-08-24 01:49:59,collect product from shelf,manual activity ,clerk,1
803,1678,2017-08-24 01:47:00,2017-08-24 01:49:59,move shelf from clerk dock,process activity,robot,3
251,1681,2017-08-24 01:49:59,2017-08-24 01:53:24,Request product,process activity,clerk,1
803,1676,2017-08-24 01:45:44,2017-08-24 01:56:10,do extra check,manual activity ,clerk,1
595,1690,2017-08-24 01:57:58,2017-08-24 02:01:18,move shelf from clerk dock,process activity,robot,0
1042,1687,2017-08-24 01:56:10,2017-08-24 02:01:18,Request product,process activity,clerk,1
1126,1682,2017-08-24 01:49:59,2017-08-24 02:03:02,collect product from shelf,manual activity ,clerk,1
1126,1697,2017-08-24 02:08:20,2017-08-24 02:11:49,move shelf from clerk dock,process activity,robot,1
90,1695,2017-08-24 02:06:48,2017-08-24 02:11:49,Request product,process activity,clerk,1
803,1688,2017-08-24 01:56:10,2017-08-24 02:14:38,Package product,manual activity ,clerk,1
888,1700,2017-08-24 02:11:49,2017-08-24 02:14:38,putdown current shelf,process activity,robot,0
1145,1705,2017-08-24 02:17:53,2017-08-24 02:21:04,Request product,process activity,clerk,1
212,1707,2017-08-24 02:17:53,2017-08-24 02:22:50,putdown current shelf,process activity,robot,2
619,1712,2017-08-24 02:22:50,2017-08-24 02:22:50,Request product,process activity,clerk,1
888,1706,2017-08-24 02:17:53,2017-08-24 02:24:49,go to approriate shelf,process activity,robot,0
70,1710,2017-08-24 02:21:04,2017-08-24 02:24:49,putdown current shelf,process activity,robot,3
1126,1709,2017-08-24 02:21:04,2017-08-24 02:24:49,Package product,manual activity ,clerk,1
530,1716,2017-08-24 02:24:49,2017-08-24 02:26:24,Request product,process activity,clerk,1
212,1713,2017-08-24 02:22:50,2017-08-24 02:29:19,go to approriate shelf,process activity,robot,2
70,1715,2017-08-24 02:24:49,2017-08-24 02:33:13,go to approriate shelf,process activity,robot,3
595,1720,2017-08-24 02:29:19,2017-08-24 02:34:18,Package product,manual activity ,clerk,1
1220,1722,2017-08-24 02:30:24,2017-08-24 02:34:18,Request product,process activity,clerk,1
212,1728,2017-08-24 02:36:49,2017-08-24 02:38:17,move shelf to dock,process activity,robot,2
114,1729,2017-08-24 02:36:49,2017-08-24 02:41:37,Request product,process activity,clerk,1
888,1724,2017-08-24 02:33:13,2017-08-24 02:44:41,move shelf to dock,process activity,robot,0
70,1731,2017-08-24 02:38:17,2017-08-24 02:48:12,move shelf to dock,process activity,robot,3
