Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
18RP,2017-12-29 00:21:13,2017-12-29 00:24:13,go to approriate shelf,process activity,robot,4r,shelf,1s,1786
494RP,2017-12-29 00:28:13,2017-12-29 00:30:13,move shelf from dock,process activity,robot,0r,shelf,22s,1796
345RP,2017-12-29 00:40:13,2017-12-29 00:45:13,putdown current shelf,process activity,robot,2r,shelf,1s,1801
18RP,2017-12-29 00:39:13,2017-12-29 01:04:13,reduce speed,process activity,robot,4r,shelf,1s,1799
18RP,2017-12-29 00:26:13,2017-12-29 01:08:13,move shelf to dock,process activity,robot,4r,shelf,1s,1793
345RP,2017-12-29 00:50:13,2017-12-29 01:16:13,go to approriate shelf,process activity,robot,2r,shelf,15s,1802
18RP,2017-12-29 01:27:13,2017-12-29 02:07:13,move shelf from dock,process activity,robot,4r,shelf,1s,1815
78RP,2017-12-29 02:07:13,2017-12-29 02:09:13,putdown current shelf,process activity,robot,9r,shelf,4s,1822
345RP,2017-12-29 02:03:13,2017-12-29 02:12:13,reduce speed,process activity,robot,2r,shelf,15s,1818
345RP,2017-12-29 01:20:13,2017-12-29 02:12:13,move shelf to dock,process activity,robot,2r,shelf,15s,1806
78RP,2017-12-29 02:12:13,2017-12-29 02:22:13,go to approriate shelf,process activity,robot,9r,shelf,7s,1823
141RP,2017-12-29 02:16:13,2017-12-29 02:23:13,putdown current shelf,process activity,robot,5r,shelf,17s,1829
141RP,2017-12-29 02:24:13,2017-12-29 02:26:13,go to approriate shelf,process activity,robot,5r,shelf,6s,1834
78RP,2017-12-29 02:23:13,2017-12-29 02:33:13,move shelf to dock,process activity,robot,9r,shelf,7s,1833
345RP,2017-12-29 02:26:13,2017-12-29 02:35:13,move shelf from dock,process activity,robot,2r,shelf,15s,1838
141RP,2017-12-29 02:32:13,2017-12-29 02:39:13,move shelf to dock,process activity,robot,5r,shelf,6s,1840
133RP,2017-12-29 02:48:13,2017-12-29 02:50:13,putdown current shelf,process activity,robot,1r,shelf,7s,1853
133RP,2017-12-29 02:50:13,2017-12-29 02:53:13,go to approriate shelf,process activity,robot,1r,shelf,23s,1854
78RP,2017-12-29 02:40:13,2017-12-29 02:55:13,move shelf from dock,process activity,robot,9r,shelf,7s,1848
141RP,2017-12-29 02:47:13,2017-12-29 03:00:13,move shelf from dock,process activity,robot,5r,shelf,6s,1852
133RP,2017-12-29 02:55:13,2017-12-29 03:03:13,move shelf to dock,process activity,robot,1r,shelf,23s,1860
422RP,2017-12-29 03:02:13,2017-12-29 03:05:13,putdown current shelf,process activity,robot,8r,shelf,15s,1862
133RP,2017-12-29 03:08:13,2017-12-29 03:14:13,move shelf from dock,process activity,robot,1r,shelf,23s,1868
422RP,2017-12-29 03:06:13,2017-12-29 03:20:13,go to approriate shelf,process activity,robot,8r,shelf,11s,1866
422RP,2017-12-29 03:34:13,2017-12-29 03:39:13,reduce speed,process activity,robot,8r,shelf,11s,1878
422RP,2017-12-29 03:22:13,2017-12-29 03:39:13,move shelf to dock,process activity,robot,8r,shelf,11s,1874
245RP,2017-12-29 03:43:13,2017-12-29 03:44:13,putdown current shelf,process activity,robot,3r,shelf,19s,1889
59RP,2017-12-29 03:39:13,2017-12-29 03:45:13,putdown current shelf,process activity,robot,7r,shelf,20s,1884
245RP,2017-12-29 03:44:13,2017-12-29 03:59:13,go to approriate shelf,process activity,robot,3r,shelf,1s,1890
59RP,2017-12-29 03:45:13,2017-12-29 04:00:13,go to approriate shelf,process activity,robot,7r,shelf,13s,1891
422RP,2017-12-29 03:47:13,2017-12-29 04:08:13,move shelf from dock,process activity,robot,8r,shelf,11s,1893
59RP,2017-12-29 04:16:13,2017-12-29 04:28:13,reduce speed,process activity,robot,7r,shelf,13s,1906
59RP,2017-12-29 04:04:13,2017-12-29 04:28:13,move shelf to dock,process activity,robot,7r,shelf,13s,1900
245RP,2017-12-29 04:18:13,2017-12-29 04:31:13,reduce speed,process activity,robot,3r,shelf,1s,1909
245RP,2017-12-29 04:04:13,2017-12-29 04:31:13,move shelf to dock,process activity,robot,3r,shelf,1s,1901
281RP,2017-12-29 04:31:13,2017-12-29 04:33:13,reduce speed,process activity,robot,6r,shelf,24s,1918
281RP,2017-12-29 04:18:13,2017-12-29 04:33:13,move shelf to dock,process activity,robot,6r,shelf,24s,1908
211RP,2017-12-29 04:41:13,2017-12-29 04:44:13,putdown current shelf,process activity,robot,0r,shelf,22s,1931
281RP,2017-12-29 04:43:13,2017-12-29 04:46:13,move shelf from dock,process activity,robot,6r,shelf,24s,1933
211RP,2017-12-29 04:45:13,2017-12-29 04:50:13,go to approriate shelf,process activity,robot,0r,shelf,0s,1934
59RP,2017-12-29 04:38:13,2017-12-29 04:52:13,move shelf from dock,process activity,robot,7r,shelf,13s,1927
245RP,2017-12-29 04:40:13,2017-12-29 04:54:13,move shelf from dock,process activity,robot,3r,shelf,1s,1929
211RP,2017-12-29 04:52:13,2017-12-29 05:03:13,move shelf to dock,process activity,robot,0r,shelf,0s,1936
337RP,2017-12-29 05:00:13,2017-12-29 05:04:13,putdown current shelf,process activity,robot,4r,shelf,1s,1943
337RP,2017-12-29 05:05:13,2017-12-29 05:19:13,go to approriate shelf,process activity,robot,4r,shelf,2s,1945
211RP,2017-12-29 05:08:13,2017-12-29 05:23:13,move shelf from dock,process activity,robot,0r,shelf,0s,1950
272RP,2017-12-29 05:18:13,2017-12-29 05:24:13,putdown current shelf,process activity,robot,2r,shelf,15s,1955
