Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
457CP,2017-12-28 20:43:13,2017-12-28 20:43:13,check if the product was shaked,process activity,clerk,1c,product,457p,1598
457CP,2017-12-28 21:00:13,2017-12-28 21:00:13,Product Delivered,process activity,clerk,1c,product,457p,1605
267CP,2017-12-28 21:01:13,2017-12-28 21:01:13,check if the product was shaked,process activity,clerk,1c,product,267p,1607
267CP,2017-12-28 21:17:13,2017-12-28 21:17:13,Product Delivered,process activity,clerk,1c,product,267p,1615
162CP,2017-12-28 21:18:13,2017-12-28 21:18:13,check if the product was shaked,process activity,clerk,1c,product,162p,1617
431CP,2017-12-28 21:01:13,2017-12-28 21:19:13,Request product,process activity,clerk,1c,product,431p,1608
431CP,2017-12-28 21:19:13,2017-12-28 21:19:13,Assgin robot,process activity,robot,9r,shelf,4s,1619
162CP,2017-12-28 21:35:13,2017-12-28 21:35:13,Product Delivered,process activity,clerk,1c,product,162p,1628
79CP,2017-12-28 21:36:13,2017-12-28 21:36:13,check if the product was shaked,process activity,clerk,1c,product,79p,1631
104CP,2017-12-28 21:18:13,2017-12-28 21:39:13,Request product,process activity,clerk,1c,product,104p,1616
104CP,2017-12-28 21:40:13,2017-12-28 21:40:13,Assgin robot,process activity,robot,5r,shelf,17s,1636
204CP,2017-12-28 21:44:13,2017-12-28 21:45:13,Request product,process activity,clerk,1c,product,204p,1642
204CP,2017-12-28 21:46:13,2017-12-28 21:46:13,Assgin robot,process activity,robot,1r,shelf,7s,1643
79CP,2017-12-28 21:54:13,2017-12-28 21:54:13,Product Delivered,process activity,clerk,1c,product,79p,1656
33CP,2017-12-28 21:55:13,2017-12-28 21:55:13,check if the product was shaked,process activity,clerk,1c,product,33p,1658
99CP,2017-12-28 21:35:13,2017-12-28 21:56:13,Request product,process activity,clerk,1c,product,99p,1629
99CP,2017-12-28 21:56:13,2017-12-28 21:56:13,Assgin robot,process activity,robot,8r,shelf,15s,1661
33CP,2017-12-28 22:13:13,2017-12-28 22:13:13,Product Delivered,process activity,clerk,1c,product,33p,1675
304CP,2017-12-28 22:14:13,2017-12-28 22:14:13,check if the product was shaked,process activity,clerk,1c,product,304p,1678
6CP,2017-12-28 21:56:13,2017-12-28 22:19:13,Request product,process activity,clerk,1c,product,6p,1660
6CP,2017-12-28 22:20:13,2017-12-28 22:20:13,Assgin robot,process activity,robot,4r,shelf,12s,1685
304CP,2017-12-28 22:29:13,2017-12-28 22:30:13,Product Delivered,process activity,clerk,1c,product,304p,1695
438CP,2017-12-28 22:31:13,2017-12-28 22:31:13,check if the product was shaked,process activity,clerk,1c,product,438p,1697
357CP,2017-12-28 22:13:13,2017-12-28 22:36:13,Request product,process activity,clerk,1c,product,357p,1677
357CP,2017-12-28 22:37:13,2017-12-28 22:37:13,Assgin robot,process activity,robot,2r,shelf,1s,1701
438CP,2017-12-28 22:52:13,2017-12-28 22:52:13,Product Delivered,process activity,clerk,1c,product,438p,1710
195CP,2017-12-28 22:30:13,2017-12-28 22:52:13,Request product,process activity,clerk,1c,product,195p,1696
195CP,2017-12-28 22:53:13,2017-12-28 22:53:13,Assgin robot,process activity,robot,3r,shelf,19s,1712
