Chip,Timestamp,Item Id,Entry Id
disposeShelf,2017-12-29 17:04:13,8r,2484
disposeShelf,2017-12-29 17:09:13,6r,2490
shelfMoved,2017-12-29 17:21:13,3r,2497
shelfDelivered,2017-12-29 17:32:13,7r,2506
shelfDelivered,2017-12-29 17:36:13,3r,2509
disposeShelf,2017-12-29 17:38:13,7r,2513
disposeShelf,2017-12-29 17:42:13,3r,2516
shelfMoved,2017-12-29 17:47:13,4r,2522
shelfMoved,2017-12-29 18:04:13,2r,2536
shelfDelivered,2017-12-29 18:05:13,4r,2538
disposeShelf,2017-12-29 18:10:13,4r,2543
shelfDelivered,2017-12-29 18:15:13,2r,2545
disposeShelf,2017-12-29 18:19:13,2r,2549
shelfMoved,2017-12-29 18:20:13,5r,2550
shelfMoved,2017-12-29 18:38:13,9r,2564
shelfDelivered,2017-12-29 18:41:13,5r,2565
disposeShelf,2017-12-29 18:46:13,5r,2572
shelfMoved,2017-12-29 18:50:13,8r,2577
shelfDelivered,2017-12-29 18:52:13,9r,2579
disposeShelf,2017-12-29 18:56:13,9r,2583
shelfDelivered,2017-12-29 19:17:13,8r,2591
disposeShelf,2017-12-29 19:21:13,8r,2594
shelfMoved,2017-12-29 19:34:13,7r,2604
shelfMoved,2017-12-29 19:58:13,4r,2622
shelfMoved,2017-12-29 20:01:13,3r,2624
shelfDelivered,2017-12-29 20:02:13,7r,2625
disposeShelf,2017-12-29 20:07:13,7r,2630
shelfDelivered,2017-12-29 20:12:13,4r,2635
disposeShelf,2017-12-29 20:16:13,4r,2640
shelfDelivered,2017-12-29 20:23:13,3r,2643
disposeShelf,2017-12-29 20:28:13,3r,2646
shelfMoved,2017-12-29 20:47:13,5r,2659
shelfDelivered,2017-12-29 21:02:13,5r,2667
disposeShelf,2017-12-29 21:08:13,5r,2674
shelfMoved,2017-12-29 21:14:13,9r,2676
shelfDelivered,2017-12-29 21:29:13,9r,2686
disposeShelf,2017-12-29 21:32:13,9r,2688
shelfMoved,2017-12-29 21:37:13,7r,2690
shelfDelivered,2017-12-29 21:42:13,7r,2696
disposeShelf,2017-12-29 21:46:13,7r,2698
shelfMoved,2017-12-29 22:12:13,3r,2712
shelfMoved,2017-12-29 22:16:13,5r,2714
shelfDelivered,2017-12-29 22:39:13,3r,2729
disposeShelf,2017-12-29 22:43:13,3r,2732
shelfDelivered,2017-12-29 22:48:13,5r,2737
shelfMoved,2017-12-29 22:51:13,9r,2741
disposeShelf,2017-12-29 22:53:13,5r,2744
shelfDelivered,2017-12-29 22:56:13,9r,2747
shelfMoved,2017-12-29 22:58:13,7r,2748
disposeShelf,2017-12-29 23:02:13,9r,2751
shelfDelivered,2017-12-29 23:04:13,7r,2754
disposeShelf,2017-12-29 23:09:13,7r,2760
shelfMoved,2017-12-29 23:48:13,3r,2774
shelfDelivered,2017-12-29 23:53:13,3r,2778
disposeShelf,2017-12-29 23:57:13,3r,2782
shelfMoved,2017-12-30 00:07:13,7r,2792
shelfMoved,2017-12-30 00:19:13,9r,2797
shelfDelivered,2017-12-30 00:27:13,7r,2801
disposeShelf,2017-12-30 00:32:13,7r,2804
shelfDelivered,2017-12-30 00:42:13,9r,2808
disposeShelf,2017-12-30 00:47:13,9r,2812
shelfMoved,2017-12-30 01:26:13,9r,2826
shelfMoved,2017-12-30 01:41:13,7r,2831
shelfDelivered,2017-12-30 01:53:13,7r,2833
shelfDelivered,2017-12-30 01:54:13,9r,2836
disposeShelf,2017-12-30 01:57:13,7r,2839
disposeShelf,2017-12-30 01:59:13,9r,2842
shelfMoved,2017-12-30 02:48:13,7r,2855
shelfDelivered,2017-12-30 03:07:13,7r,2859
disposeShelf,2017-12-30 03:12:13,7r,2862
